Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
SF ABF93_1-R1,An_ZD_SF93_M_52,ABF_008340,wild-type,0.04435201562961112,9.921247943218596,0.0
SF ABF93_1-R2,An_ZD_SF93_M_53,ABF_008340,wild-type,0.042138982828381286,12.940007293268845,0.0
SF ABF93_1-R3,An_ZD_SF93_M_54,ABF_008340,wild-type,0.04353070037708361,11.71206166588399,0.0
SF ABF93_2-R1,An_ZD_SF93_M_55,ABF_008343,"panD+, bapat+, hpdh+",0.04712300949467356,9.533115990313718,2.091163423194667
SF ABF93_2-R2,An_ZD_SF93_M_56,ABF_008343,"panD+, bapat+, hpdh+",0.039355571059854266,17.345820236797586,4.184229661714846
SF ABF93_2-R3,An_ZD_SF93_M_57,ABF_008343,"panD+, bapat+, hpdh+",0.040424544155731136,16.14977647926191,3.618711734008869
SF ABF93_3-R1,An_ZD_SF93_M_58,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.04053531437309529,16.03211006718233,3.8587349202392
SF ABF93_3-R2,An_ZD_SF93_M_59,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.040226724394770284,16.339861477231594,3.8672000346827984
SF ABF93_3-R3,An_ZD_SF93_M_60,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.03968986635857793,18.535343553203486,4.762691525732259
SF ABF93_4-R1,An_ZD_SF93_M_61,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.04130354673994702,16.979623250890462,5.59925390099002
SF ABF93_4-R2,An_ZD_SF93_M_62,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.04193589946160571,17.255572973263494,5.747140668168098
SF ABF93_4-R3,An_ZD_SF93_M_63,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.03990710604376187,20.150928487788264,6.731555660670932
SF ABF93_5-R1,An_ZD_SF93_M_64,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.041254625863543545,19.393495074524214,9.278058231734356
SF ABF93_5-R2,An_ZD_SF93_M_65,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.04185561664333491,18.31871691368797,9.493726253024187
SF ABF93_5-R3,An_ZD_SF93_M_66,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.041145657232222535,19.862993625606038,9.84972038591569
SF ABF93_6-R1,An_ZD_SF93_M_67,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.04138964528937165,16.824222573145725,5.673808731528862
SF ABF93_6-R2,An_ZD_SF93_M_68,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.041772247904296865,17.10581871625225,5.633626596452265
