ID,Entry name
PAND_Tribolium_castaneum,A7U8C7
BAPAT_Bacillus_cereus,C2ZAL1
HPDH_escherichia_coli,P3983
PAND_Tribolium_castaneum,ABF_005934
BAPAT_Bacillus_cereus,ABF_005935
HPDH_escherichia_coli,ABF_005936
jgi|Aspni7|1000234,G3XM55
jgi|Aspni7|1000395,G3XMF8
jgi|Aspni7|1000674,G3XMP7
jgi|Aspni7|1000708,G3XMP9
jgi|Aspni7|1000793,G3Y0W1
jgi|Aspni7|1001006,G3XMY1
jgi|Aspni7|1001019,G3XMY3
jgi|Aspni7|1001071,G3XMZ0
jgi|Aspni7|1001118,G3XN01
jgi|Aspni7|1001171,G3XLH0
jgi|Aspni7|1001310,G3XLJ6
jgi|Aspni7|1001547,G3XLQ9
jgi|Aspni7|1001607,G3XZX1
jgi|Aspni7|1001621,G3XVH7
jgi|Aspni7|1001664,G3XLT6
jgi|Aspni7|1001747,G3Y8A1
jgi|Aspni7|1001783,G3XLV7
jgi|Aspni7|1001862,G3XN51
jgi|Aspni7|1001906,G3XRX4
jgi|Aspni7|1002454,G3YCJ8
jgi|Aspni7|1002492,G3XNU6
jgi|Aspni7|1002607,G3XNY1
jgi|Aspni7|1003076,G3XPK1
jgi|Aspni7|1003232,G3YC29
jgi|Aspni7|1003256,G3XN20
jgi|Aspni7|1003271,G3XN25
jgi|Aspni7|1003642,G3XNI7
jgi|Aspni7|1003653,G3XNI9
jgi|Aspni7|1003723,G3XNP8
jgi|Aspni7|1003724,G3XV36
jgi|Aspni7|1004070,G3XP31
jgi|Aspni7|1004249,G3XPM3
jgi|Aspni7|1004257,G3XPM4
jgi|Aspni7|1004431,G3XPQ1
jgi|Aspni7|1004654,G3XNU7
jgi|Aspni7|1004723,G3XPW7
jgi|Aspni7|1004735,G3XUP4
jgi|Aspni7|1004742,G3Y7L7
jgi|Aspni7|1004906,G3XQ18
jgi|Aspni7|1004955,G3XQ39
jgi|Aspni7|1005100,G3XQ92
jgi|Aspni7|1005336,G3XTF3
jgi|Aspni7|1005364,G3Y091
jgi|Aspni7|1005913,G3XRN2
jgi|Aspni7|1006058,G3XRB3
jgi|Aspni7|1006206,G3XRK2
jgi|Aspni7|1006248,G3XRK6
jgi|Aspni7|1006573,G3XRV8
jgi|Aspni7|1006587,G3XRW0
jgi|Aspni7|1006639,G3XRW6
jgi|Aspni7|1006682,G3XRX5
jgi|Aspni7|1006725,G3XS27
jgi|Aspni7|1006858,G3XX75
jgi|Aspni7|1007121,G3YD63
jgi|Aspni7|1007178,G3XSE7
jgi|Aspni7|1007333,G3XSN2
jgi|Aspni7|1007623,G3XSW3
jgi|Aspni7|1007711,G3XSZ0
jgi|Aspni7|1007872,G3Y7C7
jgi|Aspni7|1008443,G3XTL0
jgi|Aspni7|1008544,G3XTN0
jgi|Aspni7|1008733,G3XTX6
jgi|Aspni7|1008741,G3YH09
jgi|Aspni7|1009085,G3XR54
jgi|Aspni7|1009233,G3YDE4
jgi|Aspni7|1009298,G3YHG0
jgi|Aspni7|1009339,G3XVJ9
jgi|Aspni7|1009550,G3Y0F2
jgi|Aspni7|1010463,G3XWS1
jgi|Aspni7|1011228,G3YC02
jgi|Aspni7|1011299,G3Y4E8
jgi|Aspni7|1011311,G3XV28
jgi|Aspni7|1011572,G3YHM2
jgi|Aspni7|1011623,G3Y607
jgi|Aspni7|1011667,G3YF02
jgi|Aspni7|1011898,G3XVD1
jgi|Aspni7|1012621,G3XW62
jgi|Aspni7|1012635,G3XW65
jgi|Aspni7|1012636,G3Y590
jgi|Aspni7|1012746,G3Y9D5
jgi|Aspni7|1012763,G3XW97
jgi|Aspni7|1012835,G3YB95
jgi|Aspni7|1012915,G3XWC2
jgi|Aspni7|1013092,G3XWL7
jgi|Aspni7|1013095,G3XVX6
jgi|Aspni7|1013169,G3XWG8
jgi|Aspni7|1013418,G3YF00
jgi|Aspni7|1013899,G3XXG0
jgi|Aspni7|1013981,G3XXG2
jgi|Aspni7|1013990,G3YBZ7
jgi|Aspni7|1014150,G3XSB8
jgi|Aspni7|1014171,G3XXL7
jgi|Aspni7|1014459,G3XXT5
jgi|Aspni7|1014609,G3XXY1
jgi|Aspni7|1014660,G3XPM9
jgi|Aspni7|1014746,G3XY08
jgi|Aspni7|1014945,G3XY45
jgi|Aspni7|1014952,G3Y6M5
