Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
An_ZD_SF93_M_52,ABF_008340,wild-type,0.044352015629611115,9.921247943218596,0.0
An_ZD_SF93_M_53,ABF_008340,wild-type,0.04213898282838129,12.940007293268845,0.0
An_ZD_SF93_M_54,ABF_008340,wild-type,0.04353070037708361,11.71206166588399,0.0
An_ZD_SF93_M_55,ABF_008343,"panD+, bapat+, hpdh+",0.04712300949467356,9.533115990313716,2.091163423194667
An_ZD_SF93_M_56,ABF_008343,"panD+, bapat+, hpdh+",0.03935557105985427,17.345820236797586,4.184229661714846
An_ZD_SF93_M_57,ABF_008343,"panD+, bapat+, hpdh+",0.040424544155731136,16.14977647926191,3.618711734008869
An_ZD_SF93_M_58,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.04053531437309529,16.032110067182327,3.8587349202391996
An_ZD_SF93_M_59,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.040226724394770284,16.339861477231597,3.8672000346827984
An_ZD_SF93_M_60,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.03968986635857793,18.535343553203486,4.762691525732259
An_ZD_SF93_M_61,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.04130354673994702,16.979623250890462,5.5992539009900195
An_ZD_SF93_M_62,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.04193589946160571,17.255572973263494,5.747140668168098
An_ZD_SF93_M_63,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.03990710604376187,20.150928487788267,6.731555660670932
An_ZD_SF93_M_64,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.041254625863543545,19.393495074524218,9.278058231734356
An_ZD_SF93_M_65,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.04185561664333491,18.318716913687975,9.493726253024189
An_ZD_SF93_M_66,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.041145657232222535,19.862993625606034,9.84972038591569
An_ZD_SF93_M_67,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.041389645289371654,16.824222573145725,5.673808731528861
An_ZD_SF93_M_68,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.04177224790429686,17.10581871625225,5.633626596452265
An_ZD_SF93_M_69,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.04010480415872088,19.540217011292956,6.3835228084843925
An_ZD_SF93_M_70,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.04069797700242337,19.197181855952138,7.408640901441795
An_ZD_SF93_M_71,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.041947119043391,17.353794539284582,7.1224686188352875
An_ZD_SF93_M_72,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.04038481902635705,19.890188397376427,7.701108667116242
An_ZD_SF93_M_73,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.03961828628832648,19.066854365174827,5.340572616721728
An_ZD_SF93_M_74,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.039893041344950975,19.64481355737513,5.2648719767655034
An_ZD_SF93_M_75,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.04019463254282194,17.214906569456332,3.9159649010771096
An_ZD_SF93_M_76,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.042290955361895324,16.36362364685735,5.772878977170454
An_ZD_SF93_M_77,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.04198473370650693,16.623805490621624,5.584450037585029
An_ZD_SF93_M_78,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.041764051451483666,16.876651566915566,5.6502043769436145
An_ZD_SF93_M_79,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.03892400259497802,19.62015002503221,8.20036771895166
An_ZD_SF93_M_80,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.03953671372317631,19.715491241281196,9.273390139556668
An_ZD_SF93_M_81,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.04210020367495366,16.43137651917106,7.7268419134194435
An_ZD_SF93_M_82,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.03928214564438133,17.41720820641414,5.896979275733821
An_ZD_SF93_M_83,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.03937780993010787,18.557998959554148,5.7533392398462855
An_ZD_SF93_M_84,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.039611660261166665,19.057252440404113,5.833698123637746
An_ZD_SF93_M_85,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.041365990652849516,16.888138502847294,8.115986214005986
An_ZD_SF93_M_86,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.039227672912701086,21.780229657842206,9.805898044153846
An_ZD_SF93_M_87,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.04084754470568938,17.823326919165602,8.057464717885587
An_ZD_SF93_M_88,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.03923508676872238,20.816491968209338,6.485107830498121
An_ZD_SF93_M_89,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.04464270963586478,14.335329083067647,4.7052828638238
An_ZD_SF93_M_90,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.04018544980603196,19.629355979492175,6.913340814402978
An_ZD_SF93_M_91,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.04213217810953918,17.70608570787509,8.813734461550615
An_ZD_SF93_M_92,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.042768748891773914,17.465623191736164,8.21701026372025
