Entry name,Transcript
A7U8C7,PAND_Tribolium_castaneum
C2ZAL1,BAPAT_Bacillus_cereus
P3983,HPDH_escherichia_coli
ABF_005934,PAND_Tribolium_castaneum
ABF_005935,BAPAT_Bacillus_cereus
ABF_005936,HPDH_escherichia_coli
G3XM55,1000234
G3XMF8,1000395
G3XMP7,1000674
G3XMP9,1000708
G3Y0W1,1000793
G3XMY1,1001006
G3XMY3,1001019
G3XMZ0,1001071
G3XN01,1001118
G3XLH0,1001171
G3XLJ6,1001310
G3XLQ9,1001547
G3XZX1,1001607
G3XVH7,1001621
G3XLT6,1001664
G3Y8A1,1001747
G3XLV7,1001783
G3XN51,1001862
G3XRX4,1001906
G3YCJ8,1002454
G3XNU6,1002492
G3XNY1,1002607
G3XPK1,1003076
G3YC29,1003232
G3XN20,1003256
G3XN25,1003271
G3XNI7,1003642
G3XNI9,1003653
G3XNP8,1003723
G3XV36,1003724
G3XP31,1004070
G3XPM3,1004249
G3XPM4,1004257
G3XPQ1,1004431
G3XNU7,1004654
G3XPW7,1004723
G3XUP4,1004735
G3Y7L7,1004742
G3XQ18,1004906
G3XQ39,1004955
G3XQ92,1005100
G3XTF3,1005336
G3Y091,1005364
G3XRN2,1005913
G3XRB3,1006058
G3XRK2,1006206
G3XRK6,1006248
G3XRV8,1006573
G3XRW0,1006587
G3XRW6,1006639
G3XRX5,1006682
G3XS27,1006725
G3XX75,1006858
G3YD63,1007121
G3XSE7,1007178
G3XSN2,1007333
G3XSW3,1007623
G3XSZ0,1007711
G3Y7C7,1007872
G3XTL0,1008443
G3XTN0,1008544
G3XTX6,1008733
G3YH09,1008741
G3XR54,1009085
G3YDE4,1009233
G3YHG0,1009298
G3XVJ9,1009339
G3Y0F2,1009550
G3XWS1,1010463
G3YC02,1011228
G3Y4E8,1011299
G3XV28,1011311
G3YHM2,1011572
G3Y607,1011623
G3YF02,1011667
G3XVD1,1011898
G3XW62,1012621
G3XW65,1012635
G3Y590,1012636
G3Y9D5,1012746
G3XW97,1012763
G3YB95,1012835
G3XWC2,1012915
G3XWL7,1013092
G3XVX6,1013095
G3XWG8,1013169
G3YF00,1013418
G3XXG0,1013899
G3XXG2,1013981
G3YBZ7,1013990
G3XSB8,1014150
G3XXL7,1014171
G3XXT5,1014459
