,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
r1,0.45025398120817484,0.43146116022362374,0.42134119130962705,0.5932634829035295,0.5825096243674165,0.6300503689210148,0.5947875105778893,0.6043433109065837,0.5722219892881171,0.7292710717785754,0.612460302539398,0.615554037428545,0.8214569817782728,0.6566298118528643,0.9619051785937736,0.5009472866519844,0.5680612365281363,0.5630594428149773,0.5223702278100432,0.6046894150276184,0.5684277463133324,0.5713769734798128,0.5102252673881966,0.5856952664121837,0.669029569944216,0.5335743556195338,0.643227390180234,0.5626166241652887,0.7076329428367951,0.4107542933138531,0.6452512827767186,0.7708344744307054,0.6995142371166263,0.745552506102178,0.8704633295475224,0.6982118912297782,0.6619424570910348,0.6912308445939053,0.6429556469349722,0.6805394239960083,0.6635318569292342,0.683878343875095,0.672316720596793,0.6183865436494886,0.620706303179756,0.6908011965779124,0.7245965837758134,0.7567436722557628,0.5689374139188635,0.5945479939762629,0.7771431257183745,0.8214426209890244,0.6528959531794742,0.6366370641762182,0.8225819345410338,0.5886979381396901,0.6018998823736182,0.6105193698277779,0.8390050045879484,0.7682170747550192,0.6139315893810577,0.8188057356825393,0.6871175452702926,0.7847331101263025,0.7842050519544694,0.7610795226181334,0.6493861221374442,0.611502929074034,0.7105832689252909,0.6786649180859986,0.5263959745199919,0.6376874161068798
r5a,1.9496187872202442,1.796217580101361,1.7151922927267444,3.16134374351475,3.0847048830432207,3.383861103929452,3.2305454899095905,3.2948137610864134,3.0260259411899857,3.964351373133798,3.361110006635297,3.4510874893595043,4.182385193814648,3.587483550012133,4.297193253457573,2.455604277829542,2.9880674633887705,2.9444402372566647,2.702444006698097,3.3764400036036273,3.0965478568433804,3.0777185857515277,2.5699882005331998,3.21784147715478,3.5884338263817894,2.760053332361894,3.4944466488189665,3.0229156800847363,3.8669414074213453,1.7715439745904324,3.505903655471115,3.741379506647013,3.6939156383647958,3.858342145563533,3.7532973685223676,3.6886951735733566,3.5607581231875716,3.665541513798348,3.431364785284398,3.724088997081332,3.5423477882330046,3.6334401135342387,3.6422530507506967,3.4698746882617666,3.4260938026281176,3.711436972718925,3.9635333930540964,4.091781258800242,3.076619806834483,3.392021097839342,4.243570159981582,4.296617256478376,3.558338444844462,3.56830530085572,4.244291172642215,3.160436855841188,3.310154343656773,3.4026458862479254,4.328081648652012,4.104009602304632,3.4630592394266886,4.278269632408699,3.768783494762102,4.215144614358105,4.35569150604809,4.2261505023280765,3.4751024216452584,3.323940732678278,3.726015408836775,3.763940452867724,2.699328514262076,3.4727050656355027
r6,1.8753173560265344,1.7610311104979828,1.7002785289826035,2.7671988375644525,2.707371690256427,2.9264134858715036,2.8048477661105733,2.856093502356405,2.6574569491712157,3.3162900952145313,2.8862647260885357,2.9566518195368583,3.4605356503543185,3.0284171583899595,3.420892842438875,2.2296967122186895,2.6301562047506852,2.598339004258306,2.395962458969105,2.8975988318570582,2.685129421048383,2.681613239835401,2.305444635043024,2.7803112714017684,3.0510795737681478,2.4471753774200264,2.989002580484158,2.636691088372946,3.2516776108864454,1.7072805739229744,3.0044401822145224,3.1113650177328056,3.122627365232305,3.237982867119849,3.088998697395621,3.13117570063374,3.0324413579202103,3.0992183251611607,2.939059247257121,3.1549264646075157,3.0107640641552345,3.078493762072782,3.0894968302353463,2.9712006904566963,2.951822334802448,3.143440255556957,3.324750061490621,3.432737258659824,2.6761847312549834,2.8851065368721907,3.5313204659297623,3.5711469388534907,3.0409593101597068,3.057426778780269,3.520144814484803,2.7576143041999406,2.858876936575593,2.9223616827795067,3.587564785837305,3.413269605505152,2.9593927984754864,3.5500813331771903,3.1503656158341995,3.5024131943322176,3.6383509015187236,3.533288418076936,2.9924896286140323,2.8849762244872275,3.1537405353706642,3.181422678954936,2.4024562061710433,2.9649601835542803
r7,2.6272224560554953,2.5535804917383698,2.5131333841137162,3.165435991470862,3.1177245534174736,3.2716189875650423,3.143027339668371,3.1873396067095476,3.0647629437100976,3.4787096829336774,3.161494770088801,3.198888554748687,3.659750526990178,3.223543998851267,3.592102377588992,2.779776154300954,3.050456160530789,3.0322554238917254,2.8277398191312755,3.1492953184190857,2.9991480420850736,3.0321564949628956,2.796808038838862,3.0766413927200573,3.314430208429325,2.8885681787752318,3.2645692241749873,2.9894751532799324,3.4364159034971515,2.40026235921582,3.2920158012363467,3.3930049887834675,3.3790792932040534,3.488369322424827,3.5013280142371555,3.4125605372461654,3.29969274156753,3.349033637074593,3.2403594650674497,3.377680247651881,3.2746603298581327,3.3363577468695724,3.328617830398211,3.210625782102655,3.2446920055106157,3.3890492143888116,3.49637656591485,3.6281366028913227,3.013189407933762,3.0603734028904306,3.6611073292628555,3.763091545581759,3.311992947128258,3.3089438629816748,3.7170159672520273,3.1293650771968697,3.160121887160525,3.182832015498173,3.7845410693837507,3.5682237614162085,3.17992309533535,3.73131620607926,3.2877649485190767,3.6464165745330446,3.7720797963687893,3.6697232948108782,3.3260362868264943,3.2300530662532863,3.4303573262906393,3.3737169673013403,2.8615035390287633,3.2248452516421384
r8,2.2512699060410006,2.157305801118119,2.1067059565481987,2.966317414517679,2.9125481218369247,3.0990162367182728,2.973937552889478,3.0217165545329814,2.8611099464406795,3.397499889074104,3.0238797480886688,3.0777701871427876,3.56014308867225,3.1259805786206183,3.5064976100139336,2.504736433259828,2.8403061826407447,2.8152972140750125,2.611851139050216,3.023447075138066,2.842138731566725,2.85688486739919,2.55112633694092,2.928476332060919,3.182754891098723,2.6678717780976062,3.126785902329558,2.8130831208264437,3.3440467571917916,2.0537714665693914,3.1482279917254345,3.2521850032581363,3.2508533292181787,3.363176094772338,3.295163355816388,3.271868118939953,3.1660670497438654,3.2241259811178864,3.089709356162285,3.2663033561297024,3.1427121970066754,3.2074257544711773,3.2090573303167713,3.090913236279676,3.0982571701565336,3.2662447349728887,3.4105633137027356,3.5304369307755668,2.8446870695943756,2.972739969881313,3.5962138975963045,3.6671192422176278,3.1764761286439827,3.183185320880965,3.6185803908684133,2.9434896906984354,3.0094994118680654,3.052596849138837,3.6860529276105343,3.4907466834606744,3.0696579469054464,3.640698769628225,3.219065282176638,3.5744148844326302,3.705215348943753,3.6015058564438953,3.159262957720275,3.0575146453702646,3.292048930830652,3.2775698231281374,2.631979872599864,3.094902717598209
r9,0.37595255001446615,0.3962746906201362,0.40642742756559513,0.1991185769532264,0.20517643158049775,0.17260275084676932,0.1690897867789044,0.16562305217657652,0.2036529972694641,0.0812097938595729,0.13761502200013281,0.12111836760592945,0.09960743831793202,0.09756342023065881,0.085604767575059,0.275039721041138,0.21014997789005943,0.21695820981670688,0.21588868008111123,0.12584824328100788,0.1570093105183418,0.17527162756378903,0.24568170189789618,0.14816506065915025,0.13167531733057475,0.22069640067757984,0.13778332184539996,0.17639203245349727,0.09236914630534597,0.3464908926464171,0.14378780951091225,0.1408199855253309,0.12822596398587438,0.12519322765248897,0.206164658420767,0.14069241830621265,0.13362569182365566,0.12490765595672586,0.15065010890516442,0.11137689152218651,0.1319481328514413,0.12893199239839523,0.11956050008142508,0.11971254582297954,0.14643483535408583,0.12280447941593142,0.08581325221211483,0.09769967211574243,0.16850233833939235,0.08763343300912214,0.06489343166654273,0.0959723033641368,0.1355168184842754,0.1257585421006958,0.09843557638361022,0.18587538649849464,0.1506224752924724,0.13023516635933044,0.0984881417732286,0.07747707795552303,0.11026514842995973,0.09061743645103508,0.06869966634243845,0.07200169010041316,0.06686444742502201,0.06821743836696942,0.16677332910624285,0.17253842088303722,0.13830839545998752,0.09614714417320151,0.22952366642882135,0.1299425340439293
r10,3.1349758172820845,3.249577046697859,3.3026122320873887,2.5356825970896852,2.567273503775569,2.3691816187257633,2.6153463081168224,2.5432167777570016,2.7401998867029347,2.207637247365557,2.7077045433185067,2.766732063101413,1.7751654540513577,2.5812042212358084,1.1750062726538215,3.168416540829491,2.822673539115215,2.759138364518941,3.2315333512202145,2.8090993500198453,3.000443730122979,2.8713993064365133,3.209181532608786,2.9808406768551245,2.4624569909500584,3.1278521193734545,2.5361929510517838,2.994361549511879,2.295297414758009,3.751148448151584,2.508410825750561,2.3327562366258854,2.3090929558369497,2.1637097189461074,2.2546830323966875,2.230400365443269,2.468084625442189,2.416221822001595,2.5572170415647277,2.3493824913189347,2.535845121700949,2.3712592347604122,2.4584808294031584,2.731139873790984,2.666855012606048,2.4574895460669715,2.337492292014901,2.1668282635753098,3.305721821237413,3.1359338688319887,1.9608349089035233,1.9132596147662893,2.7125440925306488,2.788375351000525,1.9907283538238307,2.8729818030846648,3.0581381099494176,2.9811486582045355,1.7635692987737255,2.1958222795610873,2.9631480835454505,1.850866845453016,2.7026104301451315,2.0160535918521707,1.7717527903357009,1.9217005772051616,2.3594668487271124,2.571925439660102,2.2660071395507435,2.5415313163653788,3.3051941031394567,2.7361227284534113
r12a,3.1349758172820845,3.249577046697859,3.3026122320873887,2.5356825970896852,2.567273503775569,2.3691816187257633,2.6153463081168224,2.5432167777570016,2.7401998867029347,2.207637247365557,2.7077045433185067,2.766732063101413,1.7751654540513577,2.5812042212358084,1.1750062726538215,3.168416540829491,2.822673539115215,2.759138364518941,3.2315333512202145,2.8090993500198453,3.000443730122979,2.8713993064365133,3.209181532608786,2.9808406768551245,2.4624569909500584,3.1278521193734545,2.5361929510517838,2.994361549511879,2.295297414758009,3.751148448151584,2.508410825750561,2.3327562366258854,2.3090929558369497,2.1637097189461074,2.2546830323966875,2.230400365443269,2.468084625442189,2.416221822001595,2.5572170415647277,2.3493824913189347,2.535845121700949,2.3712592347604122,2.4584808294031584,2.731139873790984,2.666855012606048,2.4574895460669715,2.337492292014901,2.1668282635753098,3.305721821237413,3.1359338688319887,1.9608349089035233,1.9132596147662893,2.7125440925306488,2.788375351000525,1.9907283538238307,2.8729818030846648,3.0581381099494176,2.9811486582045355,1.7635692987737255,2.1958222795610873,2.9631480835454505,1.850866845453016,2.7026104301451315,2.0160535918521707,1.7717527903357009,1.9217005772051616,2.3594668487271124,2.571925439660102,2.2660071395507435,2.5415313163653788,3.3051941031394567,2.7361227284534113
r13a,3.106781354537346,3.222393795635707,3.2760025137711555,2.5048676553605502,2.53708717276535,2.337237768390516,2.5874939203740346,2.5142958871498253,2.71261228137435,2.1801498909206543,2.6818037288967993,2.7429293429755583,1.7480996146046124,2.557863501656478,1.8631965085052595,3.1450082669025003,2.795869211056834,2.7316565823863512,3.2098193402278627,2.7863715026643567,2.9775840710994244,2.8464370790467104,3.1863106127920386,2.9589493532478874,2.434258406262536,3.1045696380117054,2.5084435417672086,2.970691605836962,2.2680267892746215,3.731991598895208,2.4801116995439187,2.3005048510064037,2.2791346398352754,2.132066209035515,2.2198033249599427,2.198181736669869,2.439830960555823,2.3878835047321605,2.5309615706718254,2.3216146119070684,2.509035665343178,2.342133204209729,2.431104859751323,2.706675981586377,2.640075621499934,2.429525725835392,2.3108089071753346,2.13794183252166,3.2881688557715387,3.1174178598646436,1.936682651278184,1.885405688582775,2.6860413369718716,2.763484427671628,1.9641986067701636,2.8470452032211657,3.0375989977956253,2.960519916318934,1.736852768237983,2.1683462326985827,2.9427897429557346,1.8251436415210323,2.681010587203107,1.9915719929836764,1.7489741403604242,1.9001798839967556,2.32721403575399,2.542529239324895,2.2347272992620195,2.5163491227655173,3.2833950654025092,2.7105278643972004
r14,8.816280369904284,8.821727242446398,8.819442550414694,8.7837305690491,8.747049959386878,8.766310186541675,8.701871790065672,8.70965913848953,8.727168760305126,8.696093696396808,8.71234614259116,8.695653918424304,8.673614328080479,8.647407773739436,8.65385442208263,8.694834707827814,8.712154191702247,8.679432116908702,8.704203612866486,8.682493374545672,8.687769758753946,8.693112308981048,8.712466165567552,8.700667439290735,8.719463434403396,8.734660890913188,8.733989294466047,8.714244791136661,8.708070223022636,8.7025729628204,8.718620632636792,8.68282722320493,8.699246634075873,8.700021878858864,8.702196133946721,8.70987265905454,8.73063673330154,8.712277666117192,8.734201011405304,8.684296051994096,8.713089209711761,8.70402709718447,8.705648899088231,8.709756305456194,8.730129175434115,8.743266117084916,8.75478964082687,8.75832567436246,8.749863685392235,8.787978688595594,8.764488210576769,8.78319262262563,8.78093148477945,8.799170469255836,8.805026948746178,8.79013831433871,8.794583585272399,8.786776617681975,8.81589781627165,8.806973038146364,8.785991186081384,8.777496418214277,8.793476862084143,8.797592581161329,8.77474970707997,8.770837903216579,8.789469826066098,8.797121618335378,8.772409373729396,8.754253183744607,8.744102834076676,8.7243375593875
