,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
r1,-0.1566547236492468,-0.212382227428628,-0.22708275582099452,-0.2545459252850618,-0.2564711680205568,-0.25764614721002166,-0.2583693925455769,-0.2559162247640681,-0.26017110136012833,-0.18021595825967943,-0.2630224796398492,-0.2602407431726234,0.0564265121175093,0.05597955447493039,0.056384432727405585,-0.205639277901732,-0.25681665798346326,-0.26150984940007266,-0.22987152826357446,-0.2555890702554646,-0.2648786155868049,-0.26953274479964495,-0.2198222247591445,-0.264289493059961,-0.2498111239631883,-0.2349744965993184,-0.2605990717098494,-0.26094050748154984,-0.20256130874893,-0.2221177649539192,-0.2539790495056477,-0.1828221618233856,-0.21993202095699782,-0.18036664908069822,-0.13819338524973362,-0.22345758937570312,-0.25725726245173436,-0.23421112433407773,-0.25691984916255656,-0.23052872742235916,-0.2563591456324653,-0.2404391457682262,-0.2449005027493375,-0.26042087975503625,-0.25885881514766523,-0.22935170587069395,-0.18303518320811357,-0.1586870486723722,0.05678566515038989,0.05708759194990629,0.056865903801075264,0.056874225172155124,-0.257122318432624,-0.25076163285928804,0.05699667456863939,-0.2575087338636765,0.05685255995222869,0.05681197906624094,0.056905087894619726,-0.15319541213137858,0.056704360460379216,0.05681145275156405,0.05692174456857684,0.05682840183599168,0.056790707433368066,0.0566110063736254,-0.2496300347519224,-0.25759019248587256,-0.21368191049134033,-0.22554024666827094,-0.23448175540655988,-0.25840136877947173
r5a,2.7588286948643193,2.654673850571947,2.579756039094161,4.291753655045822,4.203343367360648,4.584532169613615,4.368085347392896,4.441823743685532,4.135880871814155,5.259949226346239,4.541224846185983,4.618811018230166,5.820624278819231,5.774518779677531,5.816283618542681,3.397717616535573,4.087902161310329,4.043863499201262,3.705430751018086,4.5234751976739656,4.207620438781884,4.198928985731819,3.5433826916788704,4.351151826080598,4.86768271728428,3.7847828227992197,4.729329362281109,4.120989342641476,5.145236480998594,2.6153718406056194,4.730883980006909,5.213580834431163,5.002080131275966,5.214426518107606,5.450553910999694,4.990648467834355,4.834236502603477,4.976803779112102,4.672885521550473,4.984308005229792,4.8271818335104575,4.936515680357648,4.916048382332418,4.641954886339092,4.600602574196164,5.00089146449426,5.244512286944164,5.396779242896515,5.857672375264332,5.888817352930971,5.865949318508653,5.86680770178886,4.801027716577722,4.751500621146792,5.879438855183725,4.288709790485384,5.864572846214913,5.860386762734544,5.869991317166337,5.412549079508502,5.84928546572668,5.860332471234303,5.8717095208475225,5.862080838245046,5.858192507266597,5.839655611895573,4.703010271003749,4.482728803981578,5.04532161532185,5.008129126224377,3.7138298885421452,4.698665333038209
r6,1.066104900135681,0.9025724704280534,0.8357125079058384,1.6367849769541785,1.5887293476393516,1.7769737903863851,1.667303888607105,1.7090794223144672,1.5475982331858444,2.269542696653761,1.7445674638140165,1.788924022769833,3.023165163644638,2.999218498788627,3.020910674726151,1.287580252464426,1.5303177646896708,1.4989120507987388,1.3929723189819134,1.7505594583260342,1.5740529882181167,1.560399003268181,1.3320468963211296,1.6469969269194011,1.934219110715719,1.4224424182007804,1.8434665377188917,1.538613656358524,2.167495623001406,0.863450390394381,1.857483890993091,2.2411460935688354,2.0611760237240353,2.2464799608923944,2.448890185000306,2.048409055165645,1.9026037263965225,2.019979640887897,1.8226030624495273,2.031096547770208,1.900872625489542,1.987379548642351,1.968223185667583,1.8001356836609088,1.782583656803836,2.0417423205057386,2.256185777055836,2.381015524103486,3.0424075179329475,3.0585838603653026,3.046706466856477,3.0471523012387434,1.8862692214222767,1.8742270448532075,3.0537127767291423,1.6293374275146166,3.045991543011914,3.043817339499756,3.0488058343724074,2.3998837154914985,3.0380514537841,3.04378914112028,3.0496982495609117,3.0446972227945057,3.042677668500038,3.033049818695038,1.8522450659962522,1.7261840170184224,2.0952969866781506,2.0529840697756234,1.3879514334578538,1.832529928961792
r7,2.632652136618074,3.026394744717653,3.1065400661120495,4.182244229797842,4.153441027844215,4.353435262488496,4.250997814053822,4.268241669955966,4.149309246792013,4.071702279250556,4.3747922602088956,4.391331454496085,2.4589000424695344,2.439422954039327,2.457066347452107,3.343973031481228,4.098484344517139,4.114010544808201,3.6916876016175624,4.306450160880778,4.222839144082245,4.255726451256823,3.5302691439126583,4.2898918575238945,4.432330350347824,3.772187384194928,4.449457254827208,4.148018731169598,4.19310871049086,3.0846280399365233,4.39727438604491,4.069367711802562,4.260496233293776,4.050146451699439,3.830824037498013,4.282984948923303,4.475176350922605,4.362090884228665,4.391801554078075,4.336383821993646,4.464464081817977,4.391771006324714,4.417228213160711,4.4043444812040935,4.371171808275068,4.335259379212695,4.086537609137063,3.967886010827343,2.4745508664290465,2.4877079408662195,2.478047428845733,2.4784100495171804,4.4574924057552,4.381843373454154,2.483746031042745,4.204424766154992,2.4774659434896322,2.4756975488373434,2.479754955426222,3.9318378368052604,2.4710078491803085,2.475674613604641,2.4804808038751673,2.476413204434601,2.474770594166348,2.466939754958788,4.348545413524365,4.30208594188026,4.232116091592026,4.308386536458448,3.7327689875239476,4.416543616748355
r8,-0.7832736182411966,-1.0619111371447996,-1.1354137791031056,-1.2727296264218317,-1.2823558401024313,-1.2882307360510556,-1.2918469627233584,-1.2795811238207497,-1.3008555068030845,-0.9010797912983978,-1.3151123981974393,-1.301203715863126,0.2821325605875517,0.27989777237464997,0.28192216363702227,-1.0281963895084014,-1.2840832899137342,-1.3075492470047312,-1.1493576413178244,-1.2779453512773717,-1.3243930779320647,-1.3476637239943212,-1.099111123795764,-1.3214474653022468,-1.2490556198160525,-1.174872482997074,-1.302995358554158,-1.3047025374055372,-1.0128065437447273,-1.1105888247710711,-1.2698952475259098,-0.9141108091168635,-1.0996601047848702,-0.9018332454035226,-0.6909669262488537,-1.1172879468788293,-1.286286312263041,-1.171055621670384,-1.2845992458142736,-1.1526436371117192,-1.2817957281642174,-1.2021957288411818,-1.2245025137465644,-1.3021043987715923,-1.294294075735616,-1.1467585293534779,-0.9151759160406139,-0.7934352433619284,0.28392832575195043,0.2854379597495418,0.2843295190053721,0.28437112586078156,-1.285611592166462,-1.2538081643004733,0.2849833728431989,-1.2875436693201876,0.28426279976114077,0.2840598953312062,0.28452543947309267,-0.7659770606568811,0.28352180230189555,0.28405726375781976,0.28460872284287214,0.28414200917995247,0.2839535371668448,0.28305503186812525,-1.2481501737640566,-1.2879509624309189,-1.0684095524569377,-1.127701233341412,-1.1724087770330465,-1.292006843893282
r9,1.8493785183768778,1.964483607572853,1.9711262870089439,2.9095146033760098,2.871085187741783,3.0652045264374403,2.959150851330463,2.9886605461352165,2.848453739988929,3.1706224879521585,3.0596798620114556,3.0901277386329586,2.7410326030570866,2.719320726413977,2.7389885110891288,2.315776641972827,2.814401054603405,2.80646129780347,2.5423299602997376,3.028504809603406,2.8984460661501807,2.908062727262502,2.431158020116894,2.968444392221648,3.1832747305317715,2.597314901197854,3.14646189627305,2.8433161937640605,3.180302166746133,1.9740392151654522,3.127379138519,3.155256902685699,3.160836128508906,3.1483132062959163,3.13985711124916,3.165697002044474,3.188890038659563,3.1910352625582807,3.1072023082638007,3.183740184881927,3.182668353653759,3.189575277483532,3.192725699414147,3.102240082432501,3.076877732539452,3.1885008498592167,3.1713616930964497,3.174450767465414,2.7584791921809972,2.773145900615761,2.7623769478511053,2.762781175377962,3.1718808135887384,3.1280352091536803,2.768729403885944,2.9168810968348042,2.761728743250773,2.75975744416855,2.764280394899315,3.1658607761483797,2.7545296514822044,2.7597318773624604,2.7650895267180395,2.760555213614553,2.7587241313331927,2.749994786826913,3.1003952397603083,3.014134979449341,3.163706539135088,3.1806853031170355,2.5603602104909005,3.1245367728550737
r10,1.4101782570469108,1.0046924780458502,0.859583192928282,2.0636813763470463,1.921682353312548,1.9308600379451353,2.0017629587306973,1.9853982881903092,1.9520017793590427,1.9889945706723058,1.9708136065263877,2.0102373275832393,3.1719045375583397,3.146779699580716,3.169539128047669,1.6386777106706778,1.9060280962626646,1.8428366864540298,1.765180587688204,2.073448112334774,1.9877093393999152,1.8442687754637417,1.6887346047643208,2.0156252977393625,2.0582226572485736,1.7957781722697683,2.0495891292804322,1.936271061474965,2.004999666181085,0.9061775897641346,2.0467553307221036,1.688987018000504,1.882345872464763,1.6810743503621086,1.666233465835318,1.8828897898510586,2.090279949067674,1.9984903914291603,2.044941467176552,1.952080345971334,2.1217748131984364,1.9944219716861755,1.9757940361810544,2.038450936169555,1.9577686813375546,1.9903211195147257,2.017396431969128,2.0151467580846174,3.1920936134362856,3.2090658300320842,3.196604070146109,3.1970718395280557,2.0150244329710563,2.160349271727251,3.2039550896484204,1.9784972227626256,3.1958539721316686,3.193572798059964,3.198806726299294,2.8911096803348197,3.187523231438708,3.1935432123235072,3.1997430482111233,3.1944959715103307,3.1923770553798114,3.1822755164858503,2.0137515362677014,1.9791802993621925,1.901191891360763,2.0415745529459848,1.7020282394810013,2.013059563877388
r12a,1.4101782570469108,1.0046924780458502,0.859583192928282,2.0636813763470463,1.921682353312548,1.9308600379451353,2.0017629587306973,1.9853982881903092,1.9520017793590427,1.9889945706723058,1.9708136065263877,2.0102373275832393,3.1719045375583397,3.146779699580716,3.169539128047669,1.6386777106706778,1.9060280962626646,1.8428366864540298,1.765180587688204,2.073448112334774,1.9877093393999152,1.8442687754637417,1.6887346047643208,2.0156252977393625,2.0582226572485736,1.7957781722697683,2.0495891292804322,1.936271061474965,2.004999666181085,0.9061775897641346,2.0467553307221036,1.688987018000504,1.882345872464763,1.6810743503621086,1.666233465835318,1.8828897898510586,2.090279949067674,1.9984903914291603,2.044941467176552,1.952080345971334,2.1217748131984364,1.9944219716861755,1.9757940361810544,2.038450936169555,1.9577686813375546,1.9903211195147257,2.017396431969128,2.0151467580846174,3.1920936134362856,3.2090658300320842,3.196604070146109,3.1970718395280557,2.0150244329710563,2.160349271727251,3.2039550896484204,1.9784972227626256,3.1958539721316686,3.193572798059964,3.198806726299294,2.8911096803348197,3.187523231438708,3.1935432123235072,3.1997430482111233,3.1944959715103307,3.1923770553798114,3.1822755164858503,2.0137515362677014,1.9791802993621925,1.901191891360763,2.0415745529459848,1.7020282394810013,2.013059563877388
r13a,1.4101782570469108,1.0046924780458502,0.859583192928282,2.0636813763470463,1.921682353312548,1.9308600379451353,2.0017629587306973,1.9853982881903092,1.9520017793590427,1.9889945706723058,1.9708136065263877,2.0102373275832393,3.1719045375583397,3.146779699580716,3.169539128047669,1.6386777106706778,1.9060280962626646,1.8428366864540298,1.765180587688204,2.073448112334774,1.9877093393999152,1.8442687754637417,1.6887346047643208,2.0156252977393625,2.0582226572485736,1.7957781722697683,2.0495891292804322,1.936271061474965,2.004999666181085,0.9061775897641346,2.0467553307221036,1.688987018000504,1.882345872464763,1.6810743503621086,1.666233465835318,1.8828897898510586,2.090279949067674,1.9984903914291603,2.044941467176552,1.952080345971334,2.1217748131984364,1.9944219716861755,1.9757940361810544,2.038450936169555,1.9577686813375546,1.9903211195147257,2.017396431969128,2.0151467580846174,3.1920936134362856,3.2090658300320842,3.196604070146109,3.1970718395280557,2.0150244329710563,2.160349271727251,3.2039550896484204,1.9784972227626256,3.1958539721316686,3.193572798059964,3.198806726299294,2.8911096803348197,3.187523231438708,3.1935432123235072,3.1997430482111233,3.1944959715103307,3.1923770553798114,3.1822755164858503,2.0137515362677014,1.9791802993621925,1.901191891360763,2.0415745529459848,1.7020282394810013,2.013059563877388
r14,6.204860277385971,5.402639378406325,5.105467989404784,6.274089084681895,6.247888667202734,6.261645963167964,6.215618566519071,6.2211809559428,6.233687820563701,6.211491360522174,6.2231002426801885,6.211177233665937,8.920706671219198,8.850045241435788,8.914054161929524,6.210592082297808,6.222963133517113,6.199590239947229,6.21728415409015,6.201776851667065,6.205545694804071,6.209361799570039,6.2231859737963156,6.2147583175658605,6.228184019408387,6.23903933839662,6.238559626584367,6.224456419369808,6.220046016672172,5.281017190963934,6.227582018544781,6.20201531445863,6.21374345721447,6.214297203142617,6.215850241488381,6.221333470357623,6.236164941955955,6.223051331707775,6.2387108530876505,6.203064477004215,6.2236310046055845,6.217158071393102,6.218316500828722,6.221250360498847,6.235802400735098,6.245185924180548,6.2534170071875534,6.255942743653171,8.977486697773479,9.025219586332634,8.990171966445697,8.99148752730091,6.272089740388944,6.285117577455662,9.010846071841373,6.278666043029776,8.98806238077492,8.9816467763585,8.996366746019746,6.290690837499674,8.964632894421873,8.981563569038252,8.999000070265904,8.984243121696052,8.978283853679821,8.949874150823428,6.278188551746567,6.283654114200058,6.266002522283185,6.253033823883738,6.245783578617767,6.231665534751498
