,SF ABF180_1_R1,SF ABF180_1_R2,SF ABF180_1_R3,SF ABF180_2_R1,SF ABF180_2_R2,SF ABF180_2_R3,SF ABF180_3_R1,SF ABF180_3_R2,SF ABF180_3_R3,SF ABF180_4_R1,SF ABF180_4_R2,SF ABF180_4_R3,SF ABF180_5_R1,SF ABF180_5_R2,SF ABF180_5_R3,SF ABF180_6_R1,SF ABF180_6_R2,SF ABF180_6_R3,SF ABF180_7_R1,SF ABF180_7_R2,SF ABF180_7_R3,SF ABF180_8_R1,SF ABF180_8_R2,SF ABF180_8_R3,SF ABF180_9_R1,SF ABF180_9_R2,SF ABF180_9_R3,SF ABF180_10_R1,SF ABF180_10_R2,SF ABF180_10_R3,SF ABF180_11_R1,SF ABF180_11_R2,SF ABF180_11_R3,SF ABF180_12_R1,SF ABF180_12_R2,SF ABF180_12_R3,SF ABF180_13_R1,SF ABF180_13_R2,SF ABF180_13_R3,SF ABF180_14_R1,SF ABF180_14_R2,SF ABF180_14_R3,SF ABF180_15_R1,SF ABF180_15_R2,SF ABF180_15_R3,SF ABF180_16_R1,SF ABF180_16_R2,SF ABF180_16_R3,SF ABF180_17_R1,SF ABF180_17_R2,SF ABF180_17_R3,SF ABF180_18_R1,SF ABF180_18_R2,SF ABF180_18_R3,SF ABF180_19_R1,SF ABF180_19_R2,SF ABF180_19_R3,SF ABF180_20_R1,SF ABF180_20_R2,SF ABF180_20_R3,SF ABF180_21_R1,SF ABF180_21_R2,SF ABF180_21_R3,SF ABF180_22_R1,SF ABF180_22_R2,SF ABF180_22_R3,SF ABF180_23_R1,SF ABF180_23_R2,SF ABF180_23_R3,SF ABF180_24_R1,SF ABF180_24_R2,SF ABF180_24_R3
r5a,3.824936143246779,3.5572486905993435,3.4154708217093477,5.928542581079202,5.7920765732996475,6.3615101976714685,6.035393256020164,6.150907263442818,5.683482890361201,7.5294969381673615,6.2857964973396925,6.407739308896363,7.962112172505571,6.6996818854621765,8.126162769147271,4.685300990048232,5.618223668139456,5.542779241514971,5.0984064656672015,6.274038835460685,5.781677277891763,5.759331825586928,4.875432835576224,5.9981527485565485,6.8019063587723165,5.20722870978192,6.572800277874688,5.6596067684576825,7.312736975303423,3.4788245485134075,6.588372259834564,7.454731893284028,7.063260859963783,7.460911448415904,7.899449357839232,7.039062211432106,6.736844716819097,6.9967880808112,6.495492911051522,7.015409225539169,6.728058940027709,6.923899840496073,6.88427615365316,6.44209486066479,6.383190483172787,7.042638476192544,7.500703059720818,7.777799947963737,5.752804538089468,6.277127634711532,7.9196414914090925,8.194040815450856,6.687301392247084,6.625732079635986,8.063113810914396,5.918051160041128,6.169031280232367,6.3250075690274326,8.203233562427062,7.812437999018734,6.4224520379021754,8.077414831309822,7.027410332683751,7.892183141789771,8.101947362981086,7.861384798728351,6.555259703226295,6.2089169571655045,7.140623358004105,7.061117899124491,5.101784720433119,6.531199612144264
r10,1.9242408887136568,1.7880028612404377,1.7170062226350524,2.98020551370019,2.9147993600552526,3.1989342076326053,3.030458827998629,3.086507604388209,2.8492689613396545,3.9420693081904936,3.1551607516838893,3.2079305165957823,4.247623537648607,3.4125387220842027,4.34953741248752,2.342928664794366,2.8033205908114436,2.7736033162261142,2.5534799079011075,3.150775065004519,2.903214656615131,2.8869785965315375,2.4438493816520417,3.018496596364834,3.463226246304514,2.6061686783380895,3.311571989602693,2.8381573923966097,3.798674566775607,1.7452723236418015,3.313451764277915,3.881480381494979,3.6287797884953235,3.880803587889714,4.18393108922887,3.603227148735646,3.4242737565514716,3.596724417310643,3.3573122410471323,3.607839975639377,3.4509919117407395,3.5471523937418397,3.52202813588527,3.229060444204347,3.176761422242558,3.59908208412676,3.9014087305432774,4.067376229995062,3.234666554311886,3.536538344641218,4.171816840263715,4.363136802394803,3.3320219388213097,3.290268836133306,4.259391494883505,2.942395240150468,3.244222854197993,3.331211609484389,4.3756688904403065,4.10866026435619,3.4162710068519964,4.2892463464467525,3.682424481490953,4.153572567556644,4.279887580245735,4.208773882081711,3.2870967045273884,3.1097921019098482,3.681385945943242,3.610186428583845,2.5310147381847594,3.2629444816328395
r12a,1.9242408887136568,1.7880028612404377,1.7170062226350524,2.98020551370019,2.9147993600552526,3.1989342076326053,3.030458827998629,3.086507604388209,2.8492689613396545,3.9420693081904936,3.1551607516838893,3.2079305165957823,4.247623537648607,3.4125387220842027,4.34953741248752,2.342928664794366,2.8033205908114436,2.7736033162261142,2.5534799079011075,3.150775065004519,2.903214656615131,2.8869785965315375,2.4438493816520417,3.018496596364834,3.463226246304514,2.6061686783380895,3.311571989602693,2.8381573923966097,3.798674566775607,1.7452723236418015,3.313451764277915,3.881480381494979,3.6287797884953235,3.880803587889714,4.18393108922887,3.603227148735646,3.4242737565514716,3.596724417310643,3.3573122410471323,3.607839975639377,3.4509919117407395,3.5471523937418397,3.52202813588527,3.229060444204347,3.176761422242558,3.59908208412676,3.9014087305432774,4.067376229995062,3.234666554311886,3.536538344641218,4.171816840263715,4.363136802394803,3.3320219388213097,3.290268836133306,4.259391494883505,2.942395240150468,3.244222854197993,3.331211609484389,4.3756688904403065,4.10866026435619,3.4162710068519964,4.2892463464467525,3.682424481490953,4.153572567556644,4.279887580245735,4.208773882081711,3.2870967045273884,3.1097921019098482,3.681385945943242,3.610186428583845,2.5310147381847594,3.2629444816328395
r13a,1.9242408887136568,1.7880028612404377,1.7170062226350524,2.98020551370019,2.9147993600552526,3.1989342076326053,3.030458827998629,3.086507604388209,2.8492689613396545,3.9420693081904936,3.1551607516838893,3.2079305165957823,4.247623537648607,3.4125387220842027,4.34953741248752,2.342928664794366,2.8033205908114436,2.7736033162261142,2.5534799079011075,3.150775065004519,2.903214656615131,2.8869785965315375,2.4438493816520417,3.018496596364834,3.463226246304514,2.6061686783380895,3.311571989602693,2.8381573923966097,3.798674566775607,1.7452723236418015,3.313451764277915,3.881480381494979,3.6287797884953235,3.880803587889714,4.18393108922887,3.603227148735646,3.4242737565514716,3.596724417310643,3.3573122410471323,3.607839975639377,3.4509919117407395,3.5471523937418397,3.52202813588527,3.229060444204347,3.176761422242558,3.59908208412676,3.9014087305432774,4.067376229995062,3.234666554311886,3.536538344641218,4.171816840263715,4.363136802394803,3.3320219388213097,3.290268836133306,4.259391494883505,2.942395240150468,3.244222854197993,3.331211609484389,4.3756688904403065,4.10866026435619,3.4162710068519964,4.2892463464467525,3.682424481490953,4.153572567556644,4.279887580245735,4.208773882081711,3.2870967045273884,3.1097921019098482,3.681385945943242,3.610186428583845,2.5310147381847594,3.2629444816328395
r14,3.872027411607848,3.5947627543624083,3.452554068830862,5.99227947372156,5.867120866921364,6.4342266328589535,6.086442055974352,6.195123154110018,5.713592954997416,8.238780294594614,6.334846509395866,6.423982757486769,9.028381978088856,6.950473002874636,9.271986880802812,4.686413669129233,5.595058695106318,5.551634023389487,5.115513165937229,6.329061424557391,5.8311813485687605,5.788582560539223,4.8999646910319425,6.075833636902788,7.050998626445736,5.217446003570437,6.673487680536084,5.693022801128756,7.881961291799008,3.5022647460537986,6.665434797277097,8.071189632695889,7.4518582940175095,8.062302903142948,8.836274999076249,7.373846383510479,6.960250309386786,7.390109588431373,6.933756053137009,7.415950677018336,7.075908706935252,7.264709734471282,7.203836389887921,6.474146916152599,6.323855205797447,7.353689860314493,8.104931862452291,8.491704972016517,7.185861679158076,7.8690257438533395,8.767625869645766,9.258506394128354,6.640786363038152,6.535343264897238,8.97445216861962,5.851529800560744,6.807860136559604,6.999838868910124,9.299441999334165,8.622203058406022,7.242631989505809,9.07957055447719,7.7022875932800625,8.722107128436809,9.017602958001849,8.973710729598494,6.593127114883259,6.230251450473888,7.584920425768864,7.379627815210891,5.02227423230592,6.520578314387094
r15,3.872027411607848,3.5947627543624083,3.452554068830862,5.99227947372156,5.867120866921364,6.4342266328589535,6.086442055974352,6.195123154110018,5.713592954997416,8.238780294594614,6.334846509395866,6.423982757486769,9.028381978088856,6.950473002874636,9.271986880802812,4.686413669129233,5.595058695106318,5.551634023389487,5.115513165937229,6.329061424557391,5.8311813485687605,5.788582560539223,4.8999646910319425,6.075833636902788,7.050998626445736,5.217446003570437,6.673487680536084,5.693022801128756,7.881961291799008,3.5022647460537986,6.665434797277097,8.071189632695889,7.4518582940175095,8.062302903142948,8.836274999076249,7.373846383510479,6.960250309386786,7.390109588431373,6.933756053137009,7.415950677018336,7.075908706935252,7.264709734471282,7.203836389887921,6.474146916152599,6.323855205797447,7.353689860314493,8.104931862452291,8.491704972016517,7.185861679158076,7.8690257438533395,8.767625869645766,9.258506394128354,6.640786363038152,6.535343264897238,8.97445216861962,5.851529800560744,6.807860136559604,6.999838868910124,9.299441999334165,8.622203058406022,7.242631989505809,9.07957055447719,7.7022875932800625,8.722107128436809,9.017602958001849,8.973710729598494,6.593127114883259,6.230251450473888,7.584920425768864,7.379627815210891,5.02227423230592,6.520578314387094
r16a,3.872027411607848,3.5947627543624083,3.452554068830862,5.99227947372156,5.867120866921364,6.4342266328589535,6.086442055974352,6.195123154110018,5.713592954997416,8.238780294594614,6.334846509395866,6.423982757486769,9.028381978088856,6.950473002874636,9.271986880802812,4.686413669129233,5.595058695106318,5.551634023389487,5.115513165937229,6.329061424557391,5.8311813485687605,5.788582560539223,4.8999646910319425,6.075833636902788,7.050998626445736,5.217446003570437,6.673487680536084,5.693022801128756,7.881961291799008,3.5022647460537986,6.665434797277097,8.071189632695889,7.4518582940175095,8.062302903142948,8.836274999076249,7.373846383510479,6.960250309386786,7.390109588431373,6.933756053137009,7.415950677018336,7.075908706935252,7.264709734471282,7.203836389887921,6.474146916152599,6.323855205797447,7.353689860314493,8.104931862452291,8.491704972016517,7.185861679158076,7.8690257438533395,8.767625869645766,9.258506394128354,6.640786363038152,6.535343264897238,8.97445216861962,5.851529800560744,6.807860136559604,6.999838868910124,9.299441999334165,8.622203058406022,7.242631989505809,9.07957055447719,7.7022875932800625,8.722107128436809,9.017602958001849,8.973710729598494,6.593127114883259,6.230251450473888,7.584920425768864,7.379627815210891,5.02227423230592,6.520578314387094
r17,3.872027411607848,3.5947627543624083,3.452554068830862,5.99227947372156,5.867120866921364,6.4342266328589535,6.086442055974352,6.195123154110018,5.713592954997416,8.238780294594614,6.334846509395866,6.423982757486769,9.028381978088856,6.950473002874636,9.271986880802812,4.686413669129233,5.595058695106318,5.551634023389487,5.115513165937229,6.329061424557391,5.8311813485687605,5.788582560539223,4.8999646910319425,6.075833636902788,7.050998626445736,5.217446003570437,6.673487680536084,5.693022801128756,7.881961291799008,3.5022647460537986,6.665434797277097,8.071189632695889,7.4518582940175095,8.062302903142948,8.836274999076249,7.373846383510479,6.960250309386786,7.390109588431373,6.933756053137009,7.415950677018336,7.075908706935252,7.264709734471282,7.203836389887921,6.474146916152599,6.323855205797447,7.353689860314493,8.104931862452291,8.491704972016517,7.185861679158076,7.8690257438533395,8.767625869645766,9.258506394128354,6.640786363038152,6.535343264897238,8.97445216861962,5.851529800560744,6.807860136559604,6.999838868910124,9.299441999334165,8.622203058406022,7.242631989505809,9.07957055447719,7.7022875932800625,8.722107128436809,9.017602958001849,8.973710729598494,6.593127114883259,6.230251450473888,7.584920425768864,7.379627815210891,5.02227423230592,6.520578314387094
r18,0.12454150916647139,0.11800385036422414,0.11317549095709341,0.2045977655112641,0.19822713148105955,0.21793938567966226,0.19785601254869573,0.1993828375896813,0.18344779425887084,1.9220983373916118,0.20156894792977703,0.21558373456512894,2.6915568217763988,0.661532468580545,2.9125439827024904,0.16756833803739146,0.19836963248256012,0.19788201146462378,0.16320521615551942,0.2181371949653391,0.20117477010285895,0.20300597107461293,0.1718800074505516,0.3701641695685089,0.7707724354288569,0.18565569185535943,0.38347684882398514,0.19888335958096867,1.5367649099567653,0.14639029442557036,0.46330394455056056,1.7651179573759583,1.1118586411668618,1.7608415540987326,2.537808455048509,1.0416199777112112,0.6622407977137728,1.112425169349627,1.20139707394662,1.1028347234981253,0.970055308940687,0.9322950627556149,0.9141195965407094,0.22715877015358593,0.23692693317851513,1.0692223839203185,1.8815685302785221,2.260404462307533,4.009965405061717,4.31978165606986,2.4767091671217822,3.1467466895192655,0.37672049191297813,0.2736689951796788,2.7161552906353865,0.21014754529028223,1.9952033363721928,2.0764163614406246,2.968007903228767,2.293693541626447,2.439826270619515,2.8097603685306085,2.0267193176895613,2.3952994472435636,2.718461307500192,3.134401381467644,0.2293826127419508,0.21602720634774172,1.2828840486415842,1.0993380467721765,0.18582473116675755,0.22809156504357095
r19,1.7217211770250949,1.6004170437584915,1.537405015448164,2.6892430885938823,2.636219736239092,2.8859361078041923,2.6961552627574705,2.733774510764599,2.51286299759143,4.590983512767272,2.7920141512639747,2.837641043017957,5.4149978034485295,3.363251156404003,5.621877030461141,2.089676856076539,2.4737202989430123,2.4789939944978068,2.2403869285884572,2.8373249198306865,2.6138285191300907,2.589782323657691,2.1921623343401437,2.802680484454427,3.4541209859647086,2.3302394640021786,3.073133550173384,2.548186361192924,4.252494184631677,1.5791342050574642,3.097252535016103,4.449805842712413,3.8219170590133964,4.439244113578375,5.22286052025725,3.740050596049476,3.358950622865641,3.7971174501725513,3.654444697320083,3.8063342562265947,3.5845037681791454,3.646831492249161,3.605780498929963,2.89633530284592,2.80653720313095,3.713609528326774,4.491053695007965,4.860956655487635,5.307904902555296,5.7800708094824635,5.108231712029349,5.6816640585626494,2.998016210022471,2.888511826092424,5.307028240263469,2.565266639984796,3.9934334520694024,4.1324039951015,5.635234836607409,4.9444458271388125,4.436478581728683,5.444813803883525,4.38369103148847,5.049922960970962,5.3342198581701,5.584101537429726,2.942459464930429,2.7740120521693123,3.964196525006532,3.744926453701867,2.20068873903037,2.8860145210031303
