Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_uptake_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_uptake_rates (mmol/gDCW * hr)
SF ABF180_1_R1,SF ABF180_73,ABF_008340,wild-type,,3.824933595,0,0.792616106,0.003406664,0.013740098
SF ABF180_1_R2,SF ABF180_74,ABF_008340,wild-type,,3.557246321,0,0.678011625,0.012109326,0.009979254
SF ABF180_1_R3,SF ABF180_75,ABF_008340,wild-type,,3.415468547,0,1.080534748,0.01023367,0.009554367
SF ABF180_2_R1,SF ABF180_76,ABF_008343,(βAl-3HP)+,,5.928538632,2.040350051,0.352739261,0.02262773,-0.001311939
SF ABF180_2_R2,SF ABF180_77,ABF_008343,(βAl-3HP)+,,5.792072715,2.099250758,0.539265274,0.00530819,-0.002934545
SF ABF180_2_R3,SF ABF180_78,ABF_008343,(βAl-3HP)+,,6.36150596,2.162842581,0.190482975,0.018074119,0.00213406
SF ABF180_3_R1,SF ABF180_79,ABF_008345,"(βAl-3HP)+, pyc2+",,6.035389236,3.378505453,0.542620685,0.035116949,0.02514081
SF ABF180_3_R2,SF ABF180_80,ABF_008345,"(βAl-3HP)+, pyc2+",,6.150903166,3.090557294,0.673643961,0.044421483,0.032356324
SF ABF180_3_R3,SF ABF180_81,ABF_008345,"(βAl-3HP)+, pyc2+",,5.683479105,2.958088959,0.652569107,0.054086228,0.034380808
SF ABF180_4_R1,SF ABF180_82,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,7.529491923,5.737078062,0.579661606,0.074444851,0.028448992
SF ABF180_4_R2,SF ABF180_83,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,6.28579231,4.601168228,0.769526244,0.039471894,0.03652775
SF ABF180_4_R3,SF ABF180_84,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,6.407735041,5.633638479,0.815315699,0.087487413,0.025487303
SF ABF180_5_R1,SF ABF180_85,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,7.962106869,6.693842719,1.237255117,0.012941133,0
SF ABF180_5_R2,SF ABF180_86,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,6.699677423,6.371438982,1.076341892,0.017277309,0
SF ABF180_5_R3,SF ABF180_87,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,8.562936534,7.275150087,1.164869931,0.023991812,0.019880523
SF ABF180_6_R1,SF ABF180_88,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,4.685297869,3.105099321,0.491783408,0.082393185,0.001088733
SF ABF180_6_R2,SF ABF180_89,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,5.618219926,3.110607103,0.496302986,0.128140823,0.013127267
SF ABF180_6_R3,SF ABF180_90,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,5.54277555,2.746361007,0.569670812,0.087872384,-0.001602049
SF ABF180_7_R1,SF ABF180_91,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,5.09840307,4.586103595,0.59914266,0.060219134,0.036280824
SF ABF180_7_R2,SF ABF180_92,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,6.274034656,5.970022953,0.483642226,0.040290295,0
SF ABF180_7_R3,SF ABF180_93,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,5.781673427,5.187535711,0.583502458,0.038707233,0
SF ABF180_8_R1,SF ABF180_94,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,5.759327989,4.227033514,0.503517578,0.06493946,0
SF ABF180_8_R2,SF ABF180_95,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,4.875429588,3.825161652,0.683602243,0.055275094,0
SF ABF180_8_R3,SF ABF180_96,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,5.998148753,5.865540288,0.979648262,0.08798083,0
SF ABF180_9_R1,SF ABF180_97,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,6.801901828,4.368387426,0.738510021,0.074020762,0
SF ABF180_9_R2,SF ABF180_98,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,5.207225241,4.100113611,0.934135639,0.080056098,0
SF ABF180_9_R3,SF ABF180_99,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,6.5727959,4.238724646,0.68140198,0.065879063,0
SF ABF180_10_R1,SF ABF180_100,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,5.659602999,4.639751626,0,0.057671545,0
SF ABF180_10_R2,SF ABF180_101,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,7.312732104,5.597329887,0,0.056851966,0
SF ABF180_10_R3,SF ABF180_102,ABF_011239,"(βAl-3HP)+, pyc2+, Δald6a, Δadh1",,3.478822231,3.3795908,0,0.043894828,0
SF ABF180_11_R1,SF ABF180_103,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,6.588367871,3.910574665,0.413342292,0.135323579,-0.017808988
SF ABF180_11_R2,SF ABF180_104,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,7.454726928,3.588063784,0.503762221,0.111986621,-0.020517958
SF ABF180_11_R3,SF ABF180_105,ABF_011240,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscA",,7.063256155,4.064556613,0.511161482,0.070182413,-0.018109391
SF ABF180_12_R1,SF ABF180_106,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,7.460906479,3.836573416,0.580924785,0.128681248,-0.01569821
SF ABF180_12_R2,SF ABF180_107,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,7.899444096,3.134342888,0.435978092,0.097872016,-0.02304885
SF ABF180_12_R3,SF ABF180_108,ABF_011241,"(βAl-3HP)+, pyc2+, Δald6a, ΔiscB",,7.039057523,3.012961145,0.505694328,0.102329606,-0.019838638
SF ABF180_13_R1,SF ABF180_109,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,6.736840229,4.286093861,0.544948799,0.051863323,0
SF ABF180_13_R2,SF ABF180_110,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,6.99678342,4.606924326,0.664612934,0.064560594,0
SF ABF180_13_R3,SF ABF180_111,ABF_011242,"(βAl-3HP)+, pyc2+, Δald6a, ΔscotA",,6.495488584,4.403544391,0.474810023,0.052869523,0
SF ABF180_14_R1,SF ABF180_112,ABF_011243,"(βAl-3HP)+, pyc2+, Δald6a, Δech3",,7.015404553,4.914541604,0.533149465,0.050740464,0
