Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_1_R1,SF ABF180_73,ABF_008340,wild-type,,5.03596004,0,0.121186157,0.003406664,0.013740098
SF ABF180_1_R2,SF ABF180_74,ABF_008340,wild-type,,4.722620209,0,0.223661471,0.012109326,0.009979254
SF ABF180_1_R3,SF ABF180_75,ABF_008340,wild-type,,4.864461082,0,0.050814296,0.01023367,0.009554367
SF ABF180_2_R1,SF ABF180_76,ABF_008343,(βAl-3HP)+,,8.061463975,2.218535541,0.4594215,0.02262773,-0.001311939
SF ABF180_2_R2,SF ABF180_77,ABF_008343,(βAl-3HP)+,,7.969106,2.304433306,0.395690892,0.00530819,-0.002934545
SF ABF180_2_R3,SF ABF180_78,ABF_008343,(βAl-3HP)+,,8.210059245,2.277386095,0.550517263,0.018074119,0.00213406
SF ABF180_3_R1,SF ABF180_79,ABF_008345,"(βAl-3HP)+, pyc2+",,8.804892631,4.231664367,-0.070776611,0.035116949,0.02514081
SF ABF180_3_R2,SF ABF180_80,ABF_008345,"(βAl-3HP)+, pyc2+",,8.743702024,4.071857653,-0.087866604,0.044421483,0.032356324
SF ABF180_3_R3,SF ABF180_81,ABF_008345,"(βAl-3HP)+, pyc2+",,8.320373919,3.885647716,-0.08511771,0.054086228,0.034380808
SF ABF180_4_R1,SF ABF180_82,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,9.511886889,5.629820693,-0.075608036,0.074444851,0.028448992
SF ABF180_4_R2,SF ABF180_83,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,9.344736651,5.242515513,-0.100372988,0.039471894,0.03652775
SF ABF180_4_R3,SF ABF180_84,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,9.506198528,5.761579214,-0.106345526,0.087487413,0.025487303
SF ABF180_5_R1,SF ABF180_85,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,10.78081716,6.237384204,-0.161381102,0.012941133,0
SF ABF180_5_R2,SF ABF180_86,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,10.47440403,6.406752647,-0.140392421,0.017277309,0
SF ABF180_5_R3,SF ABF180_87,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,11.28684241,6.787279691,-0.151939556,0.023991812,0.019880523
SF ABF180_6_R1,SF ABF180_88,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,8.005370264,4.033110737,-0.064145662,0.082393185,0.001088733
SF ABF180_6_R2,SF ABF180_89,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,8.491940243,4.159016022,-0.064735172,0.128140823,0.013127267
SF ABF180_6_R3,SF ABF180_90,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,8.438269948,3.951473698,-0.074304889,0.087872384,-0.001602049
SF ABF180_7_R1,SF ABF180_91,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,8.751277371,5.563765778,-0.078149043,0.060219134,0.036280824
SF ABF180_7_R2,SF ABF180_92,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,10.07090314,6.625693449,-0.063083769,0.040290295,0
SF ABF180_7_R3,SF ABF180_93,ABF_011233,"(βAl-3HP)+, pyc2++, Δald6a",,9.309734229,5.863108792,-0.076109016,0.038707233,0
SF ABF180_8_R1,SF ABF180_94,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,8.686355808,5.072790035,-0.065676206,0.06493946,0
SF ABF180_8_R2,SF ABF180_95,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,8.362795521,4.824019713,-0.08916551,0.055275094,0
SF ABF180_8_R3,SF ABF180_96,ABF_011234,"(βAl-3HP)+, pyc2+, Δald6a, mdhA+",,9.352739961,5.882803401,-0.127780208,0.08798083,0
SF ABF180_9_R1,SF ABF180_97,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,8.953090169,4.906107036,-0.096327394,0.074020762,0
SF ABF180_9_R2,SF ABF180_98,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,8.662182529,4.879725272,-0.121843779,0.080056098,0
SF ABF180_9_R3,SF ABF180_99,ABF_011236,"(βAl-3HP)+, pyc2+, Δald6a, purU+",,9.054582859,4.943093493,-0.088878519,0.065879063,0
