Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_1_R1,SF ABF180_73,ABF_008340,wild-type,,5.276362312,0,0.30258611,0.044857227,0.021409416
SF ABF180_1_R2,SF ABF180_74,ABF_008340,wild-type,,4.953959938,0,0.402653649,0.041245323,0.015635649
SF ABF180_1_R3,SF ABF180_75,ABF_008340,wild-type,,5.15210228,0,0.275399714,0.041057192,0.016314207
SF ABF180_2_R1,SF ABF180_76,ABF_008343,(βAl-3HP)+,,8.484873473,2.253907351,0.62064448,0.062398951,0.016068732
SF ABF180_2_R2,SF ABF180_77,ABF_008343,(βAl-3HP)+,,8.401271416,2.345164333,0.581290131,0.059353706,0.012142775
SF ABF180_2_R3,SF ABF180_78,ABF_008343,(βAl-3HP)+,,8.577017713,2.300124262,0.697614084,0.062450409,0.012843075
SF ABF180_3_R1,SF ABF180_79,ABF_008345,"(βAl-3HP)+, pyc2+",,9.354669979,4.401025938,0.022889706,0.082042936,0.010075039
SF ABF180_3_R2,SF ABF180_80,ABF_008345,"(βAl-3HP)+, pyc2+",,9.258401549,4.266656731,0.028416743,0.085768566,0.012966616
SF ABF180_3_R3,SF ABF180_81,ABF_008345,"(βAl-3HP)+, pyc2+",,8.843826984,4.069778486,0.027527729,0.081654673,0.013777917
SF ABF180_4_R1,SF ABF180_82,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,9.905414425,5.608528908,0.024452227,0.100813833,0.011400775
SF ABF180_4_R2,SF ABF180_83,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,9.951971259,5.36983011,0.032461405,0.100964751,0.014638292
SF ABF180_4_R3,SF ABF180_84,ABF_008348,"(βAl-3HP)+, pyc2+, Δald6a",,10.12127813,5.786976879,0.03439297,0.113362364,0.010213894
SF ABF180_5_R1,SF ABF180_85,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,11.34036263,6.146772092,0.052191903,0.08026789,0
SF ABF180_5_R2,SF ABF180_86,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,11.22372941,6.413762804,0.045404,0.084509355,0
SF ABF180_5_R3,SF ABF180_87,ABF_011231,"(βAl-3HP)+, pyc2+, Δald6a, aat2(cy)+",,11.82756814,6.69043197,0.049138434,0.082367475,0.007967009
SF ABF180_6_R1,SF ABF180_88,ABF_011232,"(βAl-3HP)+, pyc2+, Δald6a, aat2(mt)+",,8.664441707,4.217331365,0.020745206,0.11573374,0.014878878
