Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_1_R1,SF ABF180_73,ABF_008340,wild-type,,3.824933595,0,1.034988419,0.003406664,0.026538173
SF ABF180_1_R2,SF ABF180_74,ABF_008340,wild-type,,3.557246321,0,1.125334567,0.012109326,0.01941829
SF ABF180_1_R3,SF ABF180_75,ABF_008340,wild-type,,3.415468547,0,1.18216334,0.01023367,0.020834763
SF ABF180_2_R1,SF ABF180_76,ABF_008343,(_Al-3HP)+,,5.928538632,2.040350051,1.271582261,0.02262773,0.02769183
SF ABF180_2_R2,SF ABF180_77,ABF_008343,(_Al-3HP)+,,5.792072715,2.099250758,1.330647059,0.00530819,0.022225537
SF ABF180_2_R3,SF ABF180_78,ABF_008343,(_Al-3HP)+,,6.36150596,2.162842581,1.2915175,0.018074119,0.020004591
SF ABF180_3_R1,SF ABF180_79,ABF_008345,"(_Al-3HP)+, pyc2+",,6.035389236,3.378505453,0.401067463,0.035116949,0
SF ABF180_3_R2,SF ABF180_80,ABF_008345,"(_Al-3HP)+, pyc2+",,6.150903166,3.090557294,0.497910754,0.044421483,0
SF ABF180_3_R3,SF ABF180_81,ABF_008345,"(_Al-3HP)+, pyc2+",,5.683479105,2.958088959,0.482333688,0.054086228,0
SF ABF180_4_R1,SF ABF180_82,ABF_008348,"(_Al-3HP)+, pyc2+, _ald6a",,7.529491923,5.737078062,0.428445535,0.074444851,0
SF ABF180_4_R2,SF ABF180_83,ABF_008348,"(_Al-3HP)+, pyc2+, _ald6a",,6.28579231,4.601168228,0.568780267,0.039471894,0
SF ABF180_4_R3,SF ABF180_84,ABF_008348,"(_Al-3HP)+, pyc2+, _ald6a",,6.407735041,5.633638479,0.602624647,0.087487413,0
SF ABF180_5_R1,SF ABF180_85,ABF_011231,"(_Al-3HP)+, pyc2+, _ald6a, aat2(cy)+",,7.962106869,6.693842719,0.914492913,0.012941133,0
SF ABF180_5_R2,SF ABF180_86,ABF_011231,"(_Al-3HP)+, pyc2+, _ald6a, aat2(cy)+",,6.699677423,6.371438982,0.795557051,0.017277309,0
SF ABF180_5_R3,SF ABF180_87,ABF_011231,"(_Al-3HP)+, pyc2+, _ald6a, aat2(cy)+",,8.562936534,7.275150087,0.860990818,0.023991812,0
SF ABF180_6_R1,SF ABF180_88,ABF_011232,"(_Al-3HP)+, pyc2+, _ald6a, aat2(mt)+",,4.685297869,3.105099321,0.363492084,0.082393185,0.024100859
SF ABF180_6_R2,SF ABF180_89,ABF_011232,"(_Al-3HP)+, pyc2+, _ald6a, aat2(mt)+",,5.618219926,3.110607103,0.366832642,0.128140823,0.01826717
SF ABF180_6_R3,SF ABF180_90,ABF_011232,"(_Al-3HP)+, pyc2+, _ald6a, aat2(mt)+",,5.54277555,2.746361007,0.421061035,0.087872384,0.021017357
SF ABF180_7_R1,SF ABF180_91,ABF_011233,"(_Al-3HP)+, pyc2++, _ald6a",,5.09840307,4.586103595,0.442844575,0.060219134,0
SF ABF180_7_R2,SF ABF180_92,ABF_011233,"(_Al-3HP)+, pyc2++, _ald6a",,6.274034656,5.970022953,0.357474689,0.040290295,0
SF ABF180_7_R3,SF ABF180_93,ABF_011233,"(_Al-3HP)+, pyc2++, _ald6a",,5.781673427,5.187535711,0.431284425,0.038707233,0
SF ABF180_8_R1,SF ABF180_94,ABF_011234,"(_Al-3HP)+, pyc2+, _ald6a, mdhA+",,5.759327989,4.227033514,0.372165166,0.06493946,0
SF ABF180_8_R2,SF ABF180_95,ABF_011234,"(_Al-3HP)+, pyc2+, _ald6a, mdhA+",,4.875429588,3.825161652,0.505271223,0.055275094,0
SF ABF180_8_R3,SF ABF180_96,ABF_011234,"(_Al-3HP)+, pyc2+, _ald6a, mdhA+",,5.998148753,5.865540288,0.724087846,0.08798083,0
SF ABF180_9_R1,SF ABF180_97,ABF_011236,"(_Al-3HP)+, pyc2+, _ald6a, purU+",,6.801901828,4.368387426,0.545855233,0.074020762,0
SF ABF180_9_R2,SF ABF180_98,ABF_011236,"(_Al-3HP)+, pyc2+, _ald6a, purU+",,5.207225241,4.100113611,0.690448081,0.080056098,0
SF ABF180_9_R3,SF ABF180_99,ABF_011236,"(_Al-3HP)+, pyc2+, _ald6a, purU+",,6.5727959,4.238724646,0.503644941,0.065879063,0
SF ABF180_10_R1,SF ABF180_100,ABF_011239,"(_Al-3HP)+, pyc2+, _ald6a, _adh1",,5.659602999,4.639751626,0,0.057671545,0
SF ABF180_10_R2,SF ABF180_101,ABF_011239,"(_Al-3HP)+, pyc2+, _ald6a, _adh1",,7.312732104,5.597329887,0,0.056851966,0
SF ABF180_10_R3,SF ABF180_102,ABF_011239,"(_Al-3HP)+, pyc2+, _ald6a, _adh1",,3.478822231,3.3795908,0,0.043894828,0
SF ABF180_11_R1,SF ABF180_103,ABF_011240,"(_Al-3HP)+, pyc2+, _ald6a, _iscA",,6.588367871,3.910574665,0.305513868,0.135323579,0.013163165
SF ABF180_11_R2,SF ABF180_104,ABF_011240,"(_Al-3HP)+, pyc2+, _ald6a, _iscA",,7.454726928,3.588063784,0.372345989,0.111986621,0.015165448
SF ABF180_11_R3,SF ABF180_105,ABF_011240,"(_Al-3HP)+, pyc2+, _ald6a, _iscA",,7.063256155,4.064556613,0.377815009,0.070182413,0.013385202
SF ABF180_12_R1,SF ABF180_106,ABF_011241,"(_Al-3HP)+, pyc2+, _ald6a, _iscB",,7.460906479,3.836573416,0.429379189,0.128681248,0.011603025
SF ABF180_12_R2,SF ABF180_107,ABF_011241,"(_Al-3HP)+, pyc2+, _ald6a, _iscB",,7.899444096,3.134342888,0.322244677,0.097872016,0.017036106
SF ABF180_12_R3,SF ABF180_108,ABF_011241,"(_Al-3HP)+, pyc2+, _ald6a, _iscB",,7.039057523,3.012961145,0.373774068,0.102329606,0.014663341
SF ABF180_13_R1,SF ABF180_109,ABF_011242,"(_Al-3HP)+, pyc2+, _ald6a, _scotA",,6.736840229,4.286093861,0.402788243,0.051863323,0
SF ABF180_13_R2,SF ABF180_110,ABF_011242,"(_Al-3HP)+, pyc2+, _ald6a, _scotA",,6.99678342,4.606924326,0.491235647,0.064560594,0
SF ABF180_13_R3,SF ABF180_111,ABF_011242,"(_Al-3HP)+, pyc2+, _ald6a, _scotA",,6.495488584,4.403544391,0.350946539,0.052869523,0
SF ABF180_14_R1,SF ABF180_112,ABF_011243,"(_Al-3HP)+, pyc2+, _ald6a, _ech3",,7.015404553,4.914541604,0.394066996,0.050740464,0
SF ABF180_14_R2,SF ABF180_113,ABF_011243,"(_Al-3HP)+, pyc2+, _ald6a, _ech3",,6.728054459,4.765165373,0.399630745,0.050215364,0
SF ABF180_14_R3,SF ABF180_114,ABF_011243,"(_Al-3HP)+, pyc2+, _ald6a, _ech3",,6.923895229,4.218103244,0.309939136,0.040135098,0
SF ABF180_15_R1,SF ABF180_115,ABF_011244,"(_Al-3HP)+, pyc2+, _ald6a, _coaT",,6.884271568,4.869609414,0.439265889,0.057609409,0
SF ABF180_15_R2,SF ABF180_116,ABF_011244,"(_Al-3HP)+, pyc2+, _ald6a, _coaT",,6.44209057,5.454997122,0.47567005,0.073514195,0
SF ABF180_15_R3,SF ABF180_117,ABF_011244,"(_Al-3HP)+, pyc2+, _ald6a, _coaT",,6.383186231,4.154852744,0.417508321,0.192632248,0
SF ABF180_16_R1,SF ABF180_118,ABF_010216,"(_Al-3HP)++, pyc2++, _ald6a",,7.042633785,4.724772872,0,0.145796723,0.029305661
SF ABF180_16_R2,SF ABF180_119,ABF_010216,"(_Al-3HP)++, pyc2++, _ald6a",,7.500698064,5.887429819,0,0.185497958,0.038461081
SF ABF180_16_R3,SF ABF180_120,ABF_010216,"(_Al-3HP)++, pyc2++, _ald6a",,7.777794767,5.2987868,0,0.237820562,0.036478955
SF ABF180_17_R1,SF ABF180_121,ABF_011245,"(_Al-3HP)++, pyc2++, _ald6a+NeoR",,5.752800706,7.027800964,0.228969985,0.213660926,0.029282794
SF ABF180_17_R2,SF ABF180_122,ABF_011245,"(_Al-3HP)++, pyc2++, _ald6a+NeoR",,6.277123454,7.689744742,0,0.170017913,0.03883637
SF ABF180_17_R3,SF ABF180_123,ABF_011245,"(_Al-3HP)++, pyc2++, _ald6a+NeoR",,7.919636216,7.655070844,0,0.178373819,0.034410245
SF ABF180_18_R1,SF ABF180_124,ABF_011249,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C5 ",,8.194035357,6.268523472,0,0.242790974,0.031156559
